no,Tgl_Iklan,url,harga_juta,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
1,05/04/21,https://www.rumah123.com/properti/makassar/hos8127053/,1000,Makassar,128,49,2,2,0,0,0,0,2200,SHM,Rumah Murah Tengah Kota Dekat Pettarani,"dijual rumah makassar harga murah dalam kota. dekat jalan, jln. pettarani, dekat UMI, dekat RS Ibnu Sina, jln sudirman, jl. ratulangi, jalan kumala, jln veteran selatan, jl monginsidi, jln latimojong, jalan rappocini, jalan rusa, jln bulukunyi, jl lanto dg. pasewang, jln anuang, jl. andi djemma eks landak baru, dekat metropolitan residence, dekat perumahan grand city, dekat mal ratu indah, tidak jauh dari mall panakukkang, dekat living plaza, dekat lapangan karebosi, dekat monumen mandala, dekat rumah ibadah, masjid nurut taibyn, masjid as - shalihin, masjid nurul kautsar, masjid muallim, balai pengajian baitul ikhlas, gereja katolik santo josef pekerja gotong, gereja petra, gereja filadelfia, vihara girinaga, dekat sekolah tk sd smp sma, smp negeri 24, sma negeri 3, sma negeri 8, sma negeri 11, smk negeri 1, sekolah kristen pelita kasih, tpa nurul kautsar, dekat kampus stiem bongaya, dekat pasca sarjana stiem bongaya, dekat stt intim makassar, dekat kampus uin universitas islam negeri alauddin"
2,05/04/21,https://www.rumah123.com/properti/makassar/hos8125673/,1550,Makassar,160,256,2,1,1,1,1,0,2200,HGB,Rumah Asri Citraland Red Burgundy,Rumah Dijualsewa Makassar Dalam Cluster
3,05/04/21,https://www.rumah123.com/properti/makassar/hos8125641/,80000,Makassar,1400,555,5,4,2,1,1,0,16500,SHM,Rumah Lokasi Strategis Pinggir Jalan Raya dan Bisa dijadikan Kantor @Makassar,"Rumah 2 lantai dengan Spesifikasi, sebagai berikut : Kamar Tidur : 5+2, Kamar Mandi : 4+1, Listrik 16500 watt, LT : 1400, LB : 555, Surat : SHM, nego"
4,05/04/21,https://www.rumah123.com/properti/makassar/hos8124866/,3700,Makassar,175,350,3,2,1,0,1,1,3500,SHM,Rumah Cantik,"Rumah Dijual Makassar Rumah Tengah Kota, 100 meter Ke Gereja Gotong2, 200 meter ke RS Pelamonia, 500 meter ke ke Mall Mari"
5,05/04/21,https://www.rumah123.com/properti/makassar/hos8122409/,1200,Makassar,105,70,3,1,0,0,0,0,2200,SHM,Rumah Cantik Asri Tanjung Bunga Makassar,One Gate System Aman dan Nyaman Lingkungan Bagus untuk Anak bebas Banjir 
6,03/04/21,https://www.rumah123.com/properti/makassar/hos8092274/,2900,Makassar,450,290,3,2,0,0,0,0,900,SHM,"rumah luas, siap huni, pekarangan asri",Rumah Dijual Makassar rumah tinggal asri pekarangan luas siap huni 
7,02/04/21,https://www.rumah123.com/properti/makassar/hos8114067/,900,Makassar,84,84,2,2,0,0,0,1,1300,SHM,Rumah Mewah Siap Huni Strategis Makassar Sulawesi Selatan,"Jual cepat Rumah Mewah Siap Huni Strategis Makassar Sulawesi Selatan.Rumah 2 lantai tidak termasuk perabot dengan harga 900.000.000. Sertfikat : SHM
Alamat : Jl. Pongtiku lr4A Kecamatan Tallo Kalukuang Makassar
Kondisi : Baru (dibangun th 2018)
Fasilitas : T4 Jemuran, tandon air,
No Hp wa: 082388880382"
8,01/04/21,https://www.rumah123.com/properti/makassar/hos8111721/,850,Makassar,95,80,3,2,0,0,1,0,2200,SHM,rumah mewah minimalis TYPE 80 Hertasning rapocini kota Makassar,"Rumah minimalis Harga Murah Citra Hertasning Makassar Di Lokasi yang Mudah Dijangkau
#Hanya 3 unit Rumah 2 lantai dengan TYPE 80/( 6,5x14,5), Inden 12 bulan
#kelebihan yang ditawarkan : Desain elegant & modern, Spesifikasi bangunan kelas 1, Struktur bangunan mengusung konsep rumah tumbuh (3 lantai ), Lokasi hanya 100 mter dari poros heetasning, Lingkungan aman & nyaman, Dekat dari pusat kuliner, Mall, Swalayan, dan juga dekat Sarana Pendidikan
Info lengkap hub: ARDi Gold99 property (Bisa TLP/wa no profil)"
9,01/04/21,https://www.rumah123.com/properti/makassar/hos8109466/,4850,Makassar,300,400,3,2,3,1,0,0,4400,SHM,Rumah Asri,Rumah Dijual Makassar Dekat Mall Panakukang
10,01/04/21,https://www.rumah123.com/properti/makassar/hos8109206/,1950,Makassar,112,160,4,3,0,0,1,0,0,none,Rumah di Makassar Ready Summarecon Makassar 2 lantai 4 kamar,"Rumah di Makassar Ready Summarecon Makassar 2 lantai 4 kamar LT. 8x14 Type 160
Fasilitas : kolam renang cluster, Lap. Basket, Taman Bermain, Sekolah AL Azhar"
11,01/04/21,https://www.rumah123.com/properti/makassar/hos8109103/,1500,Makassar,135,108,3,2,0,0,1,1,1300,SHM,Rumah Lili,"Rumah Dijual Makassar Perumahan Lili, Dekat Mall Panakukang"
12,30/03/21,https://www.rumah123.com/properti/makassar/hos8100785/,350,Makassar,72,36,2,1,0,0,1,0,1300,SHM,RUMAH MURAH DI DAYA PROMO DP 10%,"Rumah cantik lokasi daya biring kanaya
Type 36 luas tanah 6x12
Dekat Kantor Imigrasi,dekat Pasar Modern Daya,Dekat Kampus Ukip,Unhas dan Dipa Makassar

Unit Terbatas Promo Dp 10% dari harga 35jt
Info Pemesanan segera hubungi kami

Yuni 46 Property"
